split,F1,Recall,G-Mean,Precision
Train,0.6896613375948675,0.7176301958910655,0.713232416094796,0.7088615867630518
Test,0.5852016109848277,0.5971337579617835,0.6096985664530928,0.622527761960407
Total,0.6478057977231204,0.6724395341893102,0.6713419374736499,0.6702461323221213
