algorithm,F1,Recall,G-Mean,Precision,best_epoch
Vgg16,0.9832905193074369,0.9840546697038725,0.9841911117265839,0.9843275726673759,3
Alexnet,0.9588213515082379,0.9567198177676538,0.9597044863147121,0.9626984661002022,4
Googlenet,0.9859759064093849,0.9863325740318907,0.98625062183745,0.9861686764522363,6
Resnet18,0.9977079084349519,0.9977220956719818,0.9977249218520089,0.9977277480400414,6
Densenet121,1.0,1.0,1.0,1.0,2
Efficientnet V2 S,1.0,1.0,1.0,1.0,2
Swin Transformer,0.9832905193074369,0.9840546697038725,0.9841911117265839,0.9843275726673759,1
Mobilevit,0.9618959556057679,0.958997722095672,0.9639054285499449,0.9688382503742403,1
