part,model,best_val_acc,best_epoch,precision,recall,f1
ear,swin_transformer,0.6991341991341992,10,0.6605255174842805,0.6991341991341992,0.6711632201911183
eyes,mobilevit,0.5436681222707423,6,0.614224695622843,0.5436681222707423,0.5165767261495847
face,swin_transformer,0.62882096069869,10,0.49418025944002053,0.62882096069869,0.5430020090408095
mouth,mobilevit,0.5365853658536586,10,0.5510404332085039,0.5365853658536586,0.5347368978094303
muscles_above_eye,swin_transformer,0.7392857142857143,1,0.7970160135032015,0.7392857142857143,0.7468588646981965
nose,swin_transformer,0.7954070981210856,11,0.8211462051316587,0.7954070981210856,0.7338135828650488
